Talker,Category,distance_babble
AS3,AS,94.01579953108858
AS3,AS,114.43488789819475
AS3,AS,47.41155773699056
AS3,AS,54.52733534260567
AS3,AS,84.79044192444037
AS3,AS,111.83641628918777
AS3,AS,107.36919989438077
AS3,AS,113.99492644564154
AS3,AS,94.90470050063938
AS3,AS,70.86836073048576
AS3,AS,38.63249252218367
AS3,AS,107.50529824741538
AS3,AS,125.58010247240563
AS3,AS,225.7679111544592
AS3,AS,261.4952628339543
AS3,AS,260.32436785849643
AS3,AS,292.33733570282084
AS3,AS,440.4122508115217
AS3,AS,223.75379498527704
AS3,AS,72.66235469650839
AS3,AS,39.52845313249642
AS3,AS,171.7069660538027
AS3,AS,220.53650302748608
AS3,AS,180.75446492045702
AS3,AS,161.1482445831109
AS3,AS,52.04276643627363
AS3,AS,100.61758013497501
AS3,AS,132.99571227644458
AS3,AS,122.64699770684912
AS3,AS,260.35970905307954
AS3,AS,161.95985967882328
AS3,AS,90.05737566579347
AS3,AS,107.29890248140809
AS3,AS,153.08422458872894
AS3,AS,113.66719075435455
AS3,AS,244.05463053996846
AS3,AS,229.18834419876578
AS3,AS,53.59432463963543
AS3,AS,70.70424124603333
AS3,AS,120.55418692272403
AS3,AS,119.23448789241479
AS3,AS,88.05731961819271
AS3,AS,130.94824086622734
AS3,AS,87.46836545487359
AS3,AS,289.6971937951117
AS3,AS,52.943201032988284
AS3,AS,202.51706340867668
AS3,AS,90.16433453430459
AS3,AS,363.91964683515846
AS3,AS,121.7130874727529
AS3,AS,72.8663289090417
AS3,AS,119.62726944757792
AS3,AS,32.96682418498782
AS3,AS,333.67306744833553
AS3,AS,149.74005600036847
AS3,AS,229.37053761565676
AS3,AS,142.4183862799517
AS3,AS,163.1566337448132
AS3,AS,81.92225932159198
AS3,AS,71.33656783003458
AS3,AS,5.835098374010765
AS3,AS,167.85860011395914
AS3,AS,167.2338080126803
AS3,AS,102.60617219424077
AS3,AS,82.66088162235778
AS3,AS,210.73761192657932
AS3,AS,79.0695042410504
AS3,AS,149.9799071267279
AS3,AS,252.27435635917482
AS3,AS,216.748557596061
AS3,AS,108.82277134014775
AS3,AS,287.4224004927371
AS3,AS,119.59735510112229
AS3,AS,181.39051225358943
AS3,AS,317.69634365272987
AS3,AS,129.46358483451812
AS3,AS,117.57437253839102
AS3,AS,260.0787922884222
AS3,AS,124.68467466984173
AS3,AS,137.0951214947497
AS3,AS,47.02518454187723
AS3,AS,54.630650665007025
AS3,AS,100.38150559854995
AS3,AS,113.54277797454661
AS3,AS,55.86908798935458
AS3,AS,100.52378746935523
AS3,AS,109.06737542399175
AS3,AS,404.21201629161254
AS3,AS,84.29799473232771
AS3,AS,62.511188551513435
AS3,AS,87.76232964277395
AS3,AS,10.489544109227051
AS3,AS,73.16985588648718
AS3,AS,118.86837295951005
AS3,AS,199.28904692274074
AS3,AS,158.596457004546
AS3,AS,79.19452056803115
AS3,AS,95.98163266880348
AS3,AS,287.0851722635261
AS3,AS,127.50509269904069
AS3,AS,285.7355733645353
AS3,AS,107.27284887783935
AS3,AS,17.43182056678182
AS3,AS,8.14328175002115
AS3,AS,55.86471789678538
AS3,AS,21.157817734011836
AS3,AS,428.7347116223569
AS3,AS,39.07846438227286
AS3,AS,301.97843448631045
AS3,AS,202.97207388819947
AS3,AS,889.7006605007567
AS3,AS,357.33041804009287
AS3,AS,121.98562763385252
AS3,AS,380.8670484113205
AS3,AS,380.7110705406638
AS3,AS,38.829007744496295
AS3,AS,43.83824562909808
AS3,AS,83.78869766685605
AS3,AS,117.85609772512261
AS3,AS,38.87270599011077
AS3,AS,305.89249394842466
AS3,AS,7.777343309431097
AS3,AS,131.33947207422054
AS3,AS,155.39644825689385
AS3,AS,42.11911047959368
AS3,AS,60.498541183067076
AS4,AS,337.31319098383386
