Talker,Category,distance_babble
AS1,AS,164.63283630447606
AS1,AS,95.7602366645372
AS1,AS,100.31743915259904
AS1,AS,95.4798555782518
AS1,AS,178.16532320319192
AS1,AS,128.96977361152918
AS1,AS,73.91137021387966
AS1,AS,62.73181085146235
AS1,AS,108.13016992726462
AS1,AS,93.26554491624746
AS1,AS,89.97948531150176
AS1,AS,70.0851273640079
AS1,AS,153.77791678546126
AS1,AS,114.44204996522696
AS1,AS,86.85040036964088
AS1,AS,196.8956345478546
AS1,AS,105.8094043646926
AS1,AS,72.36298217244386
AS1,AS,49.17238017656849
AS1,AS,121.70090603066981
AS1,AS,84.54469178073776
AS1,AS,129.54139637967364
AS1,AS,59.398720896230714
AS1,AS,77.93920182260128
AS1,AS,103.89579124210037
AS2,AS,30.90905160356347
AS2,AS,77.78661421990398
AS2,AS,88.4057566930986
AS2,AS,104.57169646585284
AS2,AS,176.39625568267013
AS2,AS,97.9320260100736
AS2,AS,75.66978841903025
AS2,AS,168.7919610447884
AS2,AS,41.108847674627995
AS2,AS,44.02817969430517
AS2,AS,47.86879853871987
AS2,AS,61.37850304575711
AS2,AS,39.36282050138934
AS2,AS,72.086624161686
AS2,AS,45.86729812879038
AS2,AS,33.618891604519945
AS2,AS,107.45255513375866
AS2,AS,55.51416710771251
AS2,AS,38.973099355067305
AS2,AS,27.376836774460553
AS2,AS,48.142197302625526
AS2,AS,64.04870915171081
AS2,AS,66.7334116493111
AS2,AS,34.91994730398351
AS2,AS,137.56156767493889
AS2,AS,143.32772358316944
AS2,AS,173.9930125360726
AS2,AS,68.98793572654587
AS2,AS,79.66742824108879
AS2,AS,97.17872375768633
AS2,AS,167.71777590184374
AS2,AS,48.319110685024455
AS2,AS,107.11805699514677
AS2,AS,34.973994854297985
AS2,AS,64.00960734402068
AS2,AS,95.3771814421689
AS2,AS,86.99055009158371
AS2,AS,33.73547291857063
AS2,AS,60.97130497695775
AS2,AS,79.80040623547015
AS2,AS,86.28144991296557
AS2,AS,125.91607254840139
AS2,AS,71.79044450842386
AS2,AS,47.59616227297938
AS2,AS,68.3953536244766
AS2,AS,167.82926573013356
