Talkers,Noise,F1,F2,F3
AS2,NC,533.77,1355.58,2710.2321705426352
AS2,NC,431.17,1347.72,2591.755988023952
AS2,NC,475.0,1025.39,2559.652116788321
AS2,NC,458.19,1258.79,2568.4548
AS2,NC,419.92,1138.36,2476.5453906250004
AS2,NC,312.95,2028.58,2909.8196153846156
AS2,NC,458.47,1219.98,2548.5545104895104
AS2,NC,388.93,1385.18,2596.170651731161
AS2,NC,355.74,1504.28,2746.4146601941743
AS2,NC,431.95,1550.43,2602.197412935323
AS2,NC,425.32,1406.12,2598.029962406015
AS2,NC,484.49,1369.66,2636.778619246861
AS2,NC,464.22,1587.29,2577.1085000000003
AS2,NC,636.24,1581.9,2624.92890625
AS2,NC,452.79,1291.24,2523.1647395833334
AS2,NC,439.49,1654.38,2517.061184210527
AS2,NC,334.36,1295.78,2358.632467532468
AS2,NC,372.52,1399.91,2512.7864556962027
AS2,NC,386.81,1631.35,2551.938139534884
AS2,NC,404.43,1634.4,2589.5074814814816
AS2,NC,360.59,1165.9,2553.3448648648646
AS2,NC,441.7,1221.01,2485.3018604651165
AS2,NC,413.4,1311.22,2622.105796178344
AS2,NC,405.48,1220.59,2533.1233098591556
AS2,NC,553.48,1341.62,2486.9385393258426
AS2,NC,369.7,1459.76,2577.739802631579
AS2,NC,461.62,1713.82,2659.83023255814
AS2,NC,368.03,1562.17,2542.3466666666664
AS2,NC,318.1,1558.0,2560.471804511278
AS2,NC,467.65,1712.74,2694.670158730159
AS2,NC,403.32,1476.1,2513.740701754386
AS2,NC,390.44,1640.49,2592.4351351351347
AS2,NC,479.86,1600.5,2570.4755913978493
AS2,NC,459.15,1104.72,2512.424411764706
AS2,NC,496.68,1352.82,2591.6595652173914
AS2,NC,452.11,1473.08,2524.324943181818
AS2,NC,354.74,1719.65,2680.991759259259
AS2,NC,446.71,1300.31,2491.8446
AS2,NC,380.75,1453.2,2514.8709574468085
AS2,NC,482.89,1472.22,2636.252704081632
AS2,NC,396.17,1199.12,2510.893035714286
AS2,NC,410.11,1311.36,2366.317297297297
AS2,NC,375.48,1522.44,2679.2482722513087
AS2,NC,429.9,1407.23,2576.366641221374
AS2,NC,457.51,1670.69,2665.2395652173914
AS2,NC,464.79,1269.74,2560.694688995215
AS2,NC,405.6,1526.51,2580.8301578947367
AS2,NC,485.92,1807.23,2522.122340425532
