Talker,Noise,f0_median
AS4,NC,227.45
AS4,NC,234.86
AS4,NC,213.97
AS4,NC,240.32
AS4,NC,238.43
AS4,NC,217.08
AS4,NC,227.19
AS4,NC,229.9
AS4,NC,234.73
AS4,NC,209.12
AS4,NC,220.43
AS4,NC,219.65
AS4,NC,194.71
AS4,NC,232.76
AS4,NC,240.38
AS4,NC,210.65
AS4,NC,203.51
AS4,NC,244.74
AS4,NC,208.35
AS4,NC,225.83
AS4,NC,248.91
AS4,NC,227.65
AS4,NC,218.02
AS4,NC,221.22
AS4,NC,211.91
AS4,NC,211.93
AS4,NC,216.32
AS4,NC,226.14
AS4,NC,216.43
AS4,NC,202.01
AS4,NC,221.0
AS4,NC,222.58
AS4,NC,223.88
AS4,NC,212.22
AS4,NC,217.42
AS4,NC,194.5
AS4,NC,211.46
AS4,NC,210.36
AS4,NC,226.13
AS4,NC,215.14
AS4,NC,218.96
AS4,NC,189.46
AS4,NC,201.54
AS4,NC,195.24
AS4,NC,204.6
AS4,NC,188.48
AS4,NC,225.44
AS4,NC,222.02
AS4,NC,223.28
AS4,NC,220.79
AS4,NC,213.16
AS4,NC,202.37
AS4,NC,209.6
AS4,NC,179.36
AS4,NC,225.92
AS4,NC,216.48
AS4,NC,221.65
AS4,NC,239.08
AS4,NC,235.46
AS4,NC,205.19
AS4,NC,186.7
AS4,NC,207.41
AS4,NC,187.48
AS4,NC,222.31
AS4,NC,210.16
AS4,NC,208.61
AS4,NC,212.36
AS4,NC,200.37
AS4,NC,233.38
AS4,NC,216.3
AS4,NC,220.32
AS4,NC,195.91
AS4,NC,220.79
AS4,NC,226.28
AS4,NC,220.06
AS4,NC,212.46
AS4,NC,211.7
AS4,NC,207.21
AS4,NC,231.72
AS4,NC,224.43
AS4,NC,227.68
AS4,NC,206.78
AS4,NC,214.72
AS4,NC,215.51
AS4,NC,199.46
AS4,NC,246.18
AS4,NC,204.44
AS4,NC,234.45
AS4,NC,223.88
AS4,NC,202.21
AS4,NC,216.93
AS4,NC,217.54
AS4,NC,221.89
AS4,NC,241.08
AS4,NC,210.96
AS4,NC,238.32
AS4,NC,226.99
AS4,NC,215.1
AS4,NC,200.66
AS4,NC,229.16
AS4,NC,243.64
AS4,NC,205.67
AS4,NC,235.49
AS4,NC,198.06
AS4,NC,249.64
AS4,NC,240.74
AS4,NC,217.07
AS4,NC,222.86
AS4,NC,216.5
AS4,NC,228.36
AS4,NC,218.22
AS4,NC,230.06
AS4,NC,209.45
AS4,NC,200.56
AS4,NC,204.94
AS4,NC,193.79
AS4,NC,235.53
AS4,NC,210.44
AS4,NC,223.55
AS4,NC,199.07
AS4,NC,198.45
AS4,NC,227.2
AS4,NC,223.05
AS4,NC,225.6
AS4,NC,229.75
AS4,NC,220.48
AS4,NC,215.34
AS4,NC,227.3
AS4,NC,239.78
AS4,NC,191.04
AS4,NC,178.73
AS4,NC,210.97
AS4,NC,202.76
AS4,NC,223.3
AS4,NC,186.19
AS4,NC,224.1
AS4,NC,216.55
AS4,NC,187.02
AS4,NC,211.71
AS4,NC,205.72
AS4,NC,221.1
AS4,NC,214.11
AS4,NC,211.59
AS4,NC,212.77
AS4,NC,215.38
AS4,NC,197.66
AS4,NC,205.93
AS4,NC,245.48
AS4,NC,251.22
AS4,NC,224.96
AS4,NC,211.36
AS4,NC,238.78
AS5,NC,118.02
AS5,NC,146.04
AS5,NC,112.52
AS5,NC,118.2
AS5,NC,113.74
AS5,NC,119.19
AS5,NC,116.81
AS5,NC,115.16
AS5,NC,118.24
AS5,NC,118.37
AS5,NC,118.49
AS5,NC,107.13
AS5,NC,121.78
AS5,NC,118.17
AS5,NC,116.06
AS5,NC,125.94
AS5,NC,122.21
AS5,NC,128.97
AS5,NC,129.3
AS5,NC,126.33
AS5,NC,117.92
AS5,NC,116.63
AS5,NC,122.74
AS5,NC,112.24
AS5,NC,118.25
AS5,NC,111.89
AS5,NC,121.84
AS5,NC,115.65
AS5,NC,122.98
AS5,NC,118.06
AS5,NC,122.08
AS5,NC,137.17
AS5,NC,120.62
AS5,NC,118.33
AS5,NC,120.08
AS5,NC,124.23
AS5,NC,118.19
AS5,NC,114.82
AS5,NC,113.84
AS5,NC,121.39
AS5,NC,112.66
AS5,NC,127.99
AS5,NC,115.64
AS5,NC,117.75
AS5,NC,118.21
AS5,NC,117.45
AS5,NC,121.99
AS5,NC,130.24
AS5,NC,123.3
AS5,NC,126.66
AS5,NC,128.5
AS5,NC,108.35
AS5,NC,126.16
AS5,NC,107.91
AS5,NC,114.51
AS5,NC,119.28
AS5,NC,121.8
AS5,NC,120.33
AS5,NC,122.66
AS5,NC,132.06
AS5,NC,127.86
AS5,NC,120.66
AS5,NC,119.69
AS5,NC,109.54
AS5,NC,120.9
AS5,NC,114.2
AS5,NC,119.73
AS5,NC,125.94
AS5,NC,113.53
AS5,NC,126.84
AS5,NC,129.02
AS5,NC,126.02
AS5,NC,126.16
AS5,NC,111.94
AS5,NC,121.19
AS5,NC,124.58
AS5,NC,119.37
AS5,NC,123.2
AS5,NC,122.5
AS5,NC,121.92
AS5,NC,126.12
AS5,NC,124.16
AS5,NC,131.49
AS5,NC,119.25
AS5,NC,134.05
AS5,NC,118.7
AS5,NC,119.73
AS5,NC,115.69
AS5,NC,122.53
AS5,NC,121.96
AS5,NC,127.74
AS5,NC,124.81
AS5,NC,119.94
AS5,NC,115.46
AS5,NC,116.15
AS5,NC,125.4
AS5,NC,118.44
AS5,NC,125.65
AS5,NC,120.38
AS5,NC,116.94
AS5,NC,127.93
AS5,NC,129.54
AS5,NC,116.36
AS5,NC,121.68
AS5,NC,119.92
AS5,NC,121.06
AS5,NC,117.77
AS5,NC,127.89
AS5,NC,126.79
AS5,NC,123.42
AS5,NC,137.85
AS5,NC,126.14
AS5,NC,123.29
AS5,NC,120.13
AS5,NC,119.33
AS5,NC,121.56
AS6,NC,271.7
AS6,NC,269.51
AS6,NC,264.86
AS6,NC,269.98
AS6,NC,266.13
AS6,NC,279.46
AS6,NC,266.71
AS6,NC,274.03
AS6,NC,273.88
AS6,NC,267.42
AS6,NC,221.87
AS6,NC,265.09
AS6,NC,265.14
AS6,NC,265.89
AS6,NC,259.36
AS6,NC,264.25
AS6,NC,269.49
AS6,NC,257.27
AS6,NC,258.52
AS6,NC,253.49
AS6,NC,263.98
AS6,NC,256.2
AS6,NC,272.58
AS6,NC,252.46
AS6,NC,268.08
AS6,NC,258.98
AS6,NC,272.36
AS6,NC,264.96
AS6,NC,259.96
AS6,NC,258.12
AS6,NC,277.55
AS6,NC,293.71
AS6,NC,266.59
AS6,NC,261.13
AS6,NC,268.98
AS6,NC,265.24
AS6,NC,264.26
AS6,NC,270.14
AS6,NC,255.52
AS6,NC,265.16
AS6,NC,268.46
AS6,NC,259.6
AS6,NC,267.93
AS6,NC,258.48
AS6,NC,268.45
AS6,NC,268.62
AS6,NC,266.06
AS6,NC,277.23
AS6,NC,265.38
AS6,NC,265.55
AS6,NC,278.32
AS6,NC,257.16
AS6,NC,265.48
AS6,NC,275.82
AS6,NC,261.37
AS6,NC,269.29
AS6,NC,266.38
AS6,NC,264.9
AS6,NC,264.27
AS6,NC,272.25
AS6,NC,262.18
AS6,NC,276.38
AS6,NC,265.57
AS6,NC,263.16
AS6,NC,267.74
AS6,NC,265.67
AS6,NC,272.65
