Talker,Category,distance_ssn
AS2,AS,20.425011084758456
AS2,AS,79.71913420134759
AS2,AS,244.75871986062626
AS2,AS,208.3205475890761
AS2,AS,202.73671219789605
AS2,AS,65.8917661989152
AS2,AS,191.25899275017753
AS2,AS,78.75003862102206
AS2,AS,193.4834328122502
AS2,AS,62.10005360555252
AS2,AS,143.98439878268917
AS2,AS,68.85028077511741
AS2,AS,232.57252455484192
AS2,AS,27.676155672572932
AS2,AS,170.0430769182106
AS2,AS,117.60099896604825
AS2,AS,113.34742219306305
AS2,AS,44.53661395764708
AS2,AS,188.43919168477782
AS2,AS,205.12352281689311
AS2,AS,143.9720418442847
AS2,AS,184.7582379294966
AS2,AS,87.6981495119052
AS2,AS,119.79926484671127
AS2,AS,102.1857968497213
AS2,AS,16.81245216535931
AS2,AS,78.16998521051727
AS2,AS,172.79123748851532
AS2,AS,80.64266257888875
AS2,AS,488.45776861240773
AS2,AS,269.95675613477886
AS2,AS,103.54174946760608
AS2,AS,144.07717519722712
AS2,AS,114.16134342592721
AS3,AS,136.14419556969793
AS3,AS,73.51534752236189
AS3,AS,65.2063542632138
AS3,AS,237.73688157168363
AS3,AS,135.26476204313346
AS3,AS,123.84062110204002
AS3,AS,279.0542482570611
AS3,AS,31.579853813973237
AS3,AS,247.6789271523669
AS3,AS,159.8688774989126
AS3,AS,196.851129394227
AS3,AS,136.13983448740836
AS3,AS,48.51869148456662
AS3,AS,283.26848396482166
AS3,AS,196.9687027667928
AS3,AS,122.23584528702833
AS3,AS,363.9832839113798
AS3,AS,90.05724655677666
AS3,AS,159.3233924545876
AS3,AS,99.77148255998824
AS3,AS,13.674474964377936
AS3,AS,43.73117531925088
AS3,AS,122.55226054018956
AS3,AS,83.33815963858274
AS3,AS,156.58587847893844
AS3,AS,163.48878617509905
AS3,AS,170.35647794691178
AS3,AS,248.2208765680089
AS3,AS,180.57891946555503
AS3,AS,260.96642393222413
AS3,AS,164.7478132654737
AS3,AS,334.16151804440557
AS3,AS,149.24449717942838
AS3,AS,29.160844966441374
AS3,AS,97.79327165606848
AS3,AS,91.96568365229014
AS3,AS,51.40364416632894
AS3,AS,102.84474588109651
AS3,AS,153.59865872288685
AS3,AS,132.00111337491808
AS3,AS,203.22073004153017
AS3,AS,205.91345096258345
AS3,AS,136.98119846496596
AS3,AS,89.52614633991922
AS3,AS,134.83567391751106
AS3,AS,84.12038509993208
AS3,AS,14.490111297548028
AS3,AS,143.68867750014942
AS3,AS,212.3437687463786
AS3,AS,161.1419326813247
AS3,AS,80.78603501414435
AS3,AS,127.8608446161672
AS3,AS,190.5321874487001
AS3,AS,519.0656849272087
AS3,AS,28.952830502782092
AS3,AS,241.68392224066716
AS3,AS,357.87574966963894
AS3,AS,115.58940296790442
AS3,AS,262.4434411065311
AS3,AS,143.51252341086945
AS3,AS,476.60364863773697
AS3,AS,119.93510427018329
AS3,AS,119.12844047001013
AS3,AS,157.60558792270967
AS3,AS,71.64741745615378
AS3,AS,147.41911051075687
AS3,AS,122.14495237512486
AS3,AS,247.54436337695353
AS3,AS,134.39150403469694
AS3,AS,121.99777287016083
AS3,AS,59.22766979168433
AS3,AS,109.54668917136902
AS3,AS,148.24545422900857
AS3,AS,165.20917132750694
AS3,AS,415.9047329825093
AS3,AS,150.66244253987813
AS3,AS,81.10802500772306
AS3,AS,147.5062007329418
AS3,AS,202.2235604294476
AS3,AS,50.6185391903903
AS3,AS,423.4830454326985
AS3,AS,162.99777827533225
AS3,AS,91.84684688043447
AS3,AS,179.10898399160183
AS3,AS,88.94512779657258
AS3,AS,85.32491630081974
AS3,AS,211.341325807621
AS3,AS,348.8819072285089
AS3,AS,461.1813281581792
AS4,AS,61.58409519680473
AS4,AS,92.02290173985817
AS4,AS,40.2387180460518
AS4,AS,66.2307304290101
AS4,AS,254.21086517191478
AS4,AS,206.02785621683853
AS4,AS,227.5453149122753
AS4,AS,40.27177607558847
AS4,AS,228.04960885360583
AS4,AS,165.81483907304298
AS4,AS,128.77936359730307
AS4,AS,134.29939792734692
AS4,AS,129.35275667436733
AS4,AS,189.07049277913626
AS4,AS,47.51385195446303
AS4,AS,241.477673821783
AS4,AS,183.66189887143835
AS4,AS,37.14976516669804
AS4,AS,49.23532279245615
AS4,AS,46.42984291289756
AS4,AS,101.01878210167904
AS4,AS,96.01794948171158
AS4,AS,77.79651060103562
AS4,AS,10.30031378822576
AS4,AS,118.7521872845625
AS4,AS,352.6133432266193
AS4,AS,47.15279664250235
