Talkers,Noise,F1,F2,F3
C6,NC,504.84,1249.83,2526.387872340426
C6,NC,440.03,1114.08,2427.489666666667
C6,NC,411.7,1307.35,2586.212551724138
C6,NC,436.38,1185.18,2436.884925373134
C6,NC,463.68,1298.03,2467.6130263157893
C6,NC,450.22,1382.31,2417.745105263158
C6,NC,462.39,1183.51,2571.0497560975614
C6,NC,444.74,1415.25,2452.1328251121076
C6,NC,433.53,1372.23,2555.366290322581
C6,NC,457.04,1254.77,2568.1296875
C6,NC,462.84,1347.88,2357.064722222222
C6,NC,422.17,1226.88,2512.741087613293
C6,NC,406.89,1655.84,2593.3477570093464
C6,NC,466.7,1407.37,2499.385773809524
C6,NC,380.48,1450.19,2551.2262678062675
C6,NC,418.85,1327.31,2463.8125
C6,NC,405.66,1460.1,2428.224328358209
C6,NC,412.0,1246.63,2453.60182320442
C6,NC,392.22,1252.03,2401.057945205479
C6,NC,422.41,1307.35,2399.086203208556
C6,NC,449.93,1300.77,2516.9554634146343
C1,SSN,464.01,1221.76,2493.436052631579
C1,SSN,425.12,1269.65,2492.6888381742738
C1,SSN,432.76,1215.85,2447.4225396825395
C1,SSN,468.93,1294.55,2560.7056557377045
C1,SSN,394.79,1322.43,2547.1970996978853
C1,SSN,476.17,1259.75,2560.225859375
C1,SSN,441.73,1456.28,2534.131204379562
C1,SSN,412.05,1449.85,2571.953886792453
C1,SSN,481.68,1607.81,2668.229886363636
C1,SSN,421.89,1411.65,2578.5549836065575
C1,SSN,480.1,1396.85,2547.5614893617017
C1,SSN,489.91,1357.1,2575.472383419689
C1,SSN,404.88,1409.77,2614.8215277777776
C1,SSN,450.37,1513.93,2567.884422110553
C1,SSN,447.57,1345.71,2537.6533561643837
C1,SSN,473.07,1472.79,2471.353440860215
C1,SSN,458.26,1555.65,2555.8395061728397
C1,SSN,426.21,1416.96,2515.0858100558657
C1,SSN,436.63,1474.34,2604.245
C1,SSN,391.98,1465.52,2492.0444374999997
C1,SSN,440.0,1320.07,2534.380638297873
C1,SSN,455.99,1394.9,2596.450173010381
C1,SSN,492.66,1419.42,2617.6318125000003
C1,SSN,429.21,1319.75,2518.6104322766573
C1,SSN,397.73,1436.3,2580.3237435897436
C1,SSN,495.69,1311.75,2513.8892664092664
C1,SSN,449.91,1631.36,2617.4142056074766
C1,SSN,426.01,1317.77,2524.3899596774195
C1,SSN,495.82,1526.0,2525.0479487179496
C1,SSN,448.25,1395.8,2565.29297752809
C1,SSN,446.59,1536.83,2590.389419642857
C1,SSN,435.13,1377.21,2546.044744897959
C1,SSN,453.7,1288.5,2414.7078813559324
C1,SSN,423.24,1365.55,2562.783217054264
C1,SSN,425.11,1357.81,2494.970752688172
C1,SSN,445.2,1256.0,2539.605925925926
C1,SSN,421.32,1394.19,2521.4217283950616
C1,SSN,429.74,1403.44,2598.5475238095237
C1,SSN,443.96,1439.38,2523.792490118577
C1,SSN,397.2,1539.21,2556.5531147540987
C1,SSN,431.94,1637.06,2611.160754716981
C1,SSN,434.87,1612.29,2480.3253289473687
C1,SSN,419.2,1487.14,2536.9798876404498
C1,SSN,438.14,1335.87,2550.7850563909774
C1,SSN,316.27,1520.57,2610.5070731707315
C1,SSN,393.95,1524.66,2533.9960606060604
C1,SSN,416.09,1359.14,2503.5073033707863
C1,SSN,416.57,1355.26,2569.0126587301584
C1,SSN,414.12,1389.66,2538.7314945054945
C1,SSN,414.49,1398.93,2518.6142647058823
C1,SSN,375.66,1444.07,2595.93248
C1,SSN,387.83,1218.39,2543.5160536398466
C1,SSN,407.03,1390.82,2525.3337674418603
C1,SSN,366.07,1582.64,2599.009158878505
C1,SSN,414.63,1304.91,2535.409047619047
C1,SSN,427.53,1295.96,2525.8784328358206
C1,SSN,419.71,1257.11,2569.136253869969
C1,SSN,423.91,1630.53,2581.5763095238094
C1,SSN,371.82,1461.46,2587.688775510204
C1,SSN,404.86,1593.12,2610.833473053892
C1,SSN,483.28,1613.89,2604.4726666666666
C1,SSN,477.16,1191.2,2557.6109493670883
C1,SSN,452.74,1405.09,2594.710720338983
C1,SSN,446.72,1522.17,2636.1909333333338
C1,SSN,412.41,1477.27,2602.4606862745095
C1,SSN,452.03,1134.84,2493.4893125
C1,SSN,449.18,1330.38,2521.565168539326
C1,SSN,431.76,1499.07,2562.5891366906476
C1,SSN,466.9,1504.81,2557.1424038461537
C1,SSN,397.98,1229.45,2575.381583710407
C1,SSN,453.44,1328.24,2603.235340909091
C1,SSN,376.85,1302.24,2498.0278571428576
C1,SSN,428.77,1308.39,2552.229303797468
C1,SSN,457.87,1587.1,2320.8148
C1,SSN,434.73,1364.57,2486.1991770573563
C1,SSN,482.61,1372.36,2390.126310679612
C1,SSN,432.59,1293.05,2402.6194761904762
C1,SSN,429.51,1287.59,2531.024601769912
C1,SSN,433.47,1360.06,2528.751067961165
C2,SSN,399.34,1266.91,2245.071492537314
C2,SSN,419.8,1358.33,2298.9160736196322
C2,SSN,452.9,1466.7,2355.6328703703707
C2,SSN,500.29,1323.81,2417.4656666666665
C2,SSN,451.88,1399.43,2502.4640677966104
C2,SSN,508.22,1424.33,2500.061732283465
C2,SSN,465.58,1381.21,2396.3347008547007
C2,SSN,465.93,1459.54,2490.69013029316
C2,SSN,468.41,1474.39,2475.058119891008
C2,SSN,336.05,1333.87,2330.1497499999996
C2,SSN,460.92,1423.52,2361.777027027027
C2,SSN,512.15,1225.89,2396.4496202531645
C2,SSN,373.73,1456.91,2293.1307114624506
C2,SSN,640.88,1325.34,2583.754423076923
C2,SSN,526.76,1289.47,2321.1022222222223
C2,SSN,428.66,1452.59,2439.805402298851
C2,SSN,490.05,1544.81,2339.158913043478
C2,SSN,464.13,1445.37,2409.519487179487
C2,SSN,484.0,1464.07,2502.693114754098
C2,SSN,422.77,1436.24,2527.2706569343063
C2,SSN,456.0,1340.92,2306.685875706214
C2,SSN,441.09,1328.84,2345.220031545741
C2,SSN,464.84,1488.44,2512.723583333333
C2,SSN,422.59,1490.21,2335.831276595745
C2,SSN,390.12,1520.17,2461.4467741935487
C2,SSN,516.57,1427.96,2438.4052631578943
C2,SSN,465.69,1441.61,2471.06140625
C2,SSN,415.35,1380.36,2367.539854651163
C2,SSN,405.86,1532.23,2396.128265306122
C2,SSN,438.03,1399.64,2414.8752688172044
C2,SSN,484.38,1557.09,2476.645507246377
