Talkers,Category,Noise,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
AS1,AS,NC,374.69377745849056,-106.99862651308302,60.87228900403773,-49.13562950741132,13.94020758701887,-73.7738444435849,-45.08724956705169,-38.43470250738113,-43.06935549946415,-5.579440823656675,12.753700508181131,-18.707827320837733,-38.91790871434415,21.166925715033585,-35.79593907337358
AS1,AS,NC,307.54659717,-62.282608636699116,153.76024848327435,-39.54537705154424,25.039582582982298,-46.22852907402213,-49.722615767969906,-0.5126232527787605,-15.269115013274334,-32.94459101646017,-19.139175771057523,-5.448261476916816,-3.5647903859405305,27.08218538285133,-3.7171450606477876
AS1,AS,NC,269.4670284081029,-32.684557804779104,120.07627799,-43.01941302905787,53.15363237167203,-11.312695777408361,-14.429616304263664,-11.38841273932251,-9.590137382855307,-20.15520452904791,-10.54617948496077,3.166405375632155,-6.1824895133183295,19.687500634942122,-14.566731049082637
AS1,AS,NC,393.3736749603226,-80.32622551606453,101.14093196970676,-30.76462173805572,8.72089216456305,-48.40190882753372,-24.520362433495603,-18.801060598099706,-30.032640069589736,-30.802635847961877,-3.557394497285631,-14.684024295228738,-11.479420529691495,28.545988267374785,-23.594980081926682
AS1,AS,NC,326.86216202050923,-44.79527635622684,139.00949860748148,-52.46582334621112,21.814661055578703,-35.04583659929861,-34.21614721251389,-13.591492416181946,-18.75570480344797,-22.19928346998426,3.443656349970834,-0.6396888358988423,-11.34271954607176,25.908108261840283,-15.019298574097222
AS1,AS,NC,275.0192869051158,-93.62129935463159,122.47807693901052,-37.14633065877245,11.526664448233685,-37.630812777324216,-26.582511537890525,-30.366506965618946,-28.856718495881267,-9.349638334833683,0.4683845703452641,-1.1321345773534746,-4.933167955108631,10.491534187881474,-19.663329433812635
AS1,AS,NC,270.3106118163782,3.908609079320513,145.46374010246794,-44.83057014641987,21.042739940205127,-30.117965956124355,-22.276954148766027,-20.926263913444874,-21.864109965416663,-15.717919966794872,-17.642052286179485,-1.2422063496121798,8.537902124426283,23.76506310716026,2.41500947476827
AS1,AS,NC,333.98528544580915,-42.885114397077594,112.04635669688797,-37.367413303975106,34.86225972567635,-38.37098955785394,-26.871478779801247,-41.553373375889805,-20.22890279540166,-30.496449038431532,-7.860946113687969,-1.268051863298755,-22.757016474896265,27.70515185472834,-12.568121219083817
AS1,AS,NC,326.513894697811,-45.6503153897015,142.20290434885572,-5.334978218338309,24.626687734298507,-45.1273946162388,-42.200359334203974,-31.706234723955223,-41.82892619604975,-10.520824484268658,-10.12235676646373,-7.153167333880596,-0.789702310681592,13.157068605547265,3.0592177347014924
AS1,AS,NC,439.7248246216215,-67.70654922666667,109.53442354504506,-51.52312751455134,-2.442191414072972,-29.824413387045677,-36.893321134738734,-30.693745003117126,-26.482574422810817,-26.23546408198198,7.922668129583785,-9.35478066985856,-24.437224182828825,15.390779367252252,-26.89401792935135
AS1,AS,NC,248.75753526136253,-91.56821271987349,165.886094727382,-62.41348945339416,13.971654628571775,-13.134241224502187,-25.04372861808516,-23.417360638932117,-18.731704617974692,-8.660765487474453,9.933680854335256,9.82492112055961,-11.603167220559124,19.938220591158146,-17.24187107329197
AS1,AS,NC,220.38850875989726,-89.30267883436986,140.73378698496577,-61.45259967784931,14.298481074342469,-7.3337796898698615,-11.120482769556506,-26.23813746568322,-23.49046479504349,-12.258783467551371,9.932459447808904,6.758430372332022,-11.016966925819862,19.459605765908222,-22.82154227548904
AS1,AS,NC,226.5108731897076,-113.69029984380117,132.8618264811111,14.933927802865497,59.58243242842105,-5.566079846001171,-25.15861295527485,-37.488366541114615,-4.787127379790876,13.478552515259649,19.15209045326725,13.98157925108772,-18.15175088874854,12.169518460336258,-15.27345878066199
