Talker,Category,distance_SSN
AS3,AS,39.11449558223668
AS3,AS,52.601226131166634
AS3,AS,51.189212239712056
AS3,AS,128.7645229135053
AS3,AS,71.4777494374771
AS3,AS,107.38802633275894
AS3,AS,74.1388879440522
AS3,AS,100.64469692579863
AS3,AS,57.39970305051815
AS3,AS,151.63847732909002
AS3,AS,94.70341334710362
AS3,AS,77.85244778880325
AS3,AS,63.97203718958881
AS3,AS,136.26734293404465
AS3,AS,108.9036655845551
AS3,AS,102.10878597591952
AS3,AS,47.75832815688598
AS3,AS,51.59544220775911
AS3,AS,111.37713423725461
AS3,AS,68.96771584477273
AS3,AS,65.73999338893489
AS3,AS,67.11981768363647
AS4,AS,76.0025992020799
AS4,AS,63.00047150105458
AS4,AS,36.802076408537374
AS4,AS,43.23349793522165
AS4,AS,62.677176052274106
AS4,AS,75.90615504093277
AS4,AS,63.13922409902368
AS4,AS,63.311311950831474
AS4,AS,56.85430237681474
AS4,AS,51.420195222673556
AS4,AS,52.616476431073934
AS4,AS,82.916886841902
AS4,AS,39.21972915647206
AS4,AS,65.72811983084677
AS4,AS,90.60230193106028
AS4,AS,49.731783215489344
AS4,AS,36.92599584390043
AS4,AS,27.400123711794468
AS4,AS,57.44865515001936
AS4,AS,74.41841480308352
AS4,AS,37.469375541611136
AS4,AS,81.99158989068611
AS4,AS,46.45370665711624
AS4,AS,64.71296546806516
AS4,AS,62.993190108490374
AS4,AS,77.70193463778024
AS4,AS,32.980028932213486
AS4,AS,60.559439604748555
AS4,AS,46.072064441354904
AS4,AS,84.49091558756868
AS4,AS,56.4122883857344
AS4,AS,58.04903107033466
AS4,AS,54.65364195135044
AS4,AS,49.966834405663135
AS4,AS,48.07050402264022
AS4,AS,57.54663581543208
AS4,AS,71.8578869591323
AS4,AS,86.6264847947378
AS4,AS,160.44180811015713
AS4,AS,47.405818103502256
AS4,AS,33.21437336110783
AS4,AS,74.19568472308977
AS4,AS,38.298045991176245
AS4,AS,43.74378477165587
AS4,AS,40.31060207982327
AS4,AS,38.801075516863456
AS4,AS,35.02403289307105
AS4,AS,37.563747368887256
AS4,AS,64.95668683770688
AS4,AS,77.37122167212752
AS4,AS,126.54981957224449
AS4,AS,58.860092160725976
AS4,AS,78.4945993808978
AS4,AS,45.00272793767466
AS4,AS,63.527096226600705
AS4,AS,44.10332488543889
AS4,AS,49.82851348615237
AS4,AS,109.97692887349612
AS4,AS,79.93973424779698
AS4,AS,96.37695047363701
AS4,AS,70.9366878669949
AS4,AS,41.9368268056924
AS4,AS,48.17578957265992
AS4,AS,53.15741646711696
AS4,AS,46.15669739827728
AS4,AS,54.125578787128035
AS4,AS,64.28180543773317
AS4,AS,50.77643726929156
AS4,AS,48.966900251611385
AS4,AS,66.99120893331437
AS4,AS,43.47212054485298
AS4,AS,80.77882085334267
AS4,AS,47.48010122794488
AS4,AS,96.54220235017588
AS4,AS,49.88980187426732
AS4,AS,125.38818382254757
AS4,AS,64.82344180242181
AS4,AS,37.20041232088908
AS4,AS,109.54363610650893
AS4,AS,99.54677941234854
AS4,AS,80.66836318344187
AS4,AS,117.60339979207457
AS4,AS,65.33971208162126
AS4,AS,71.3028957913397
AS4,AS,53.16068982830354
AS4,AS,60.72842895015244
AS4,AS,65.83822809645358
AS4,AS,27.283376809228614
AS4,AS,88.66200633747843
AS4,AS,54.985591281349045
AS4,AS,62.69927938704572
AS4,AS,57.366501529838864
AS4,AS,35.548903277532915
AS4,AS,61.533232316669164
AS4,AS,78.49376601898562
AS4,AS,65.33845252250461
AS4,AS,37.9219251499598
AS4,AS,62.88128246442374
AS4,AS,52.281185379555644
AS4,AS,80.45553627410312
AS4,AS,60.27649011419258
AS4,AS,64.41266851388859
AS4,AS,57.821766316466125
AS4,AS,30.867792982245714
AS4,AS,41.616860981071646
AS4,AS,64.74899368420526
AS4,AS,76.81221611261547
AS4,AS,73.75478447457576
