Talker,Noise,Rate
C2,NC,5.780826706283317
C2,NC,5.127906976744185
C2,NC,5.376664544358499
C2,NC,6.407814013561511
C2,NC,6.621290225714429
C2,NC,6.537559634511199
C2,NC,5.345130598145567
C2,NC,3.926487686844669
C2,NC,6.131503109358411
C2,NC,5.071224252181287
C2,NC,6.243564662273476
C2,NC,5.492817404301253
C2,NC,4.463111021151705
C2,NC,6.1848853983010095
C2,NC,4.855855855855856
C3,NC,6.31679851913881
C3,NC,7.1943619693954135
C3,NC,5.804813839789395
C3,NC,5.247709333227559
C3,NC,7.868730956106399
C3,NC,5.378820490744727
C3,NC,6.224676187313185
C3,NC,5.473986594318545
C3,NC,4.863434180053671
C3,NC,6.677193286035647
C3,NC,5.772855796418473
C3,NC,5.933400605449041
C3,NC,6.195367132867133
C3,NC,5.730621791956339
C3,NC,6.140219347099649
C3,NC,4.828114736150647
C3,NC,4.854139009893064
C3,NC,4.709400112128575
C3,NC,4.1079868897705705
C3,NC,5.828365003377486
C3,NC,4.6996136938857065
C3,NC,4.590721399076998
C3,NC,5.131487084012102
C3,NC,4.615169943836556
C3,NC,6.150231719876415
C3,NC,6.692102581889917
C3,NC,5.296979160410786
C3,NC,6.7584727209037565
C3,NC,6.043152920462756
C3,NC,4.181838871187984
C3,NC,6.972552491778395
C3,NC,4.417421267729786
C3,NC,6.215625352359714
C3,NC,5.304625007517893
C3,NC,4.738758327749896
C3,NC,5.8441558441558445
C3,NC,4.501722597932883
C3,NC,4.674680404502957
C3,NC,5.979174575627746
C3,NC,5.978082504530471
C3,NC,6.295203654358584
C3,NC,5.3484181711078
C3,NC,5.560692669804976
C3,NC,5.723638670973696
C3,NC,6.915894614939201
C3,NC,7.239561203599985
C3,NC,6.995899838922243
C3,NC,5.548658759583285
C3,NC,5.297933685728015
C3,NC,5.731632596223473
C3,NC,5.225051555635255
C3,NC,5.715989216092908
C3,NC,4.687273535408192
C3,NC,5.979661016949152
C3,NC,5.266929415979935
C3,NC,6.183665544913279
C3,NC,5.668542374817904
C3,NC,4.198660892207137
C3,NC,6.524054677791585
C3,NC,5.298661174047374
C3,NC,6.546541876378442
C3,NC,6.118929633300298
C3,NC,4.110738255033557
C3,NC,6.229316329001534
C3,NC,8.583941605839415
C3,NC,6.975955888999367
C3,NC,5.79531118587048
C3,NC,7.018166682988933
C3,NC,5.92741935483871
C3,NC,5.388485589017466
C3,NC,4.947591114530243
C3,NC,6.248339620636523
C3,NC,5.904306059946781
C3,NC,6.733607689734902
C3,NC,5.237529691211401
C3,NC,5.169382252959793
C3,NC,4.319929470539257
C3,NC,6.034152482075419
C3,NC,6.007019005801096
C3,NC,5.72555075712021
C3,NC,6.110209413720756
C3,NC,6.2146229184771125
C3,NC,4.832498434564809
C3,NC,5.047499141581779
C3,NC,6.023675823341933
C3,NC,5.362937550803577
C3,NC,4.464466491192549
C3,NC,6.089898501691638
C3,NC,6.114596693126278
C3,NC,4.489255770049418
C4,NC,5.662661652756122
C4,NC,5.561440677966101
C4,NC,5.458551317808987
C4,NC,5.491221516623085
C4,NC,4.57241207697412
C4,NC,5.605140516876148
C4,NC,6.320182094081943
C4,NC,5.680007632495349
C4,NC,6.112689722087462
C4,NC,5.59289790741915
C4,NC,6.912090280362845
C4,NC,5.560225266874002
C4,NC,3.981022688519328
C4,NC,5.699147066425433
C4,NC,5.538026842477042
C4,NC,7.316803392017698
C4,NC,3.8546423966960206
C4,NC,4.397881393493485
C4,NC,5.760338566838215
C4,NC,8.49009900990099
C4,NC,5.424554411601904
C4,NC,4.784325637910085
C4,NC,6.961692275310461
C4,NC,5.962062438902639
C4,NC,4.410970413490968
C4,NC,4.717127909916568
C4,NC,5.545528515422738
