Talkers,Category,Noise,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
C1,C,NC,251.32489566424175,69.74939581252833,109.6348949994933,25.823025795216115,37.640877310467154,9.177102797007816,-23.319609296225206,1.1146147171666672,-17.306493114983883,-4.776479273013467,0.6663148932240531,9.39475529369707,-11.07154706449144,10.115443329679108,9.050693749036142
C1,C,NC,221.32956578701942,69.38678927281553,112.12060186407282,6.65798319824757,31.32128124768058,15.431100103135485,-8.767164638252428,4.11697891584466,-22.08066918461068,16.426594928033982,2.459034421271845,0.7166571790728165,-15.498367101073788,17.710906391635923,2.470266763175728
C1,C,NC,265.7779056779531,93.87153978074839,140.76453395940297,9.669326447262259,49.37691616999574,11.734795392240938,-44.96585268611088,-0.8065470152164179,-14.209979589520046,-12.369279037710877,-0.5831481770191893,5.899947713263541,-23.466028706773987,3.8809186475185506,-4.687375979060128
C1,C,NC,261.07870127118383,112.73547097841956,101.4855969031609,26.17200635962644,36.72543871514943,28.22549278127873,-1.4295434759994243,8.511374957931034,-24.34165189325862,7.4119687420546,10.537909175910345,2.080044317501724,-11.42383608724138,17.282495697715518,10.605182167005115
C1,C,NC,352.74060583517644,97.96555227665294,86.52121550428824,15.85433403937353,27.994644153062943,-2.2403227160970585,-10.121523337611764,13.542982386474414,-20.989033824994117,8.267773774982354,-4.256213053411177,-8.563624785274117,-20.551769570654116,14.406006795607647,12.52281163386
C1,C,NC,301.4494344531545,84.76443957272534,115.95489598900215,2.6610921004549364,35.24575802984399,5.625326871014378,-13.045996777688412,5.5380459329098715,-20.4804524453809,6.160902595672103,6.971527173907297,-3.618273657958369,-18.863695692783264,18.782172428001076,7.13142964947315
C1,C,NC,221.33124883842504,80.62556337661017,132.2020216877536,11.543424692646676,24.270224302800525,9.769749296560887,0.7211810528873939,6.196484405507171,-22.9275747571609,6.766645816112256,2.9829808443876122,0.9088429569302475,-11.452463965183574,18.186052428480444,11.174265538122555
C1,C,NC,201.93179904230078,46.44886440176692,120.14506919958946,-12.961642095658043,18.853588618330527,8.195762183591427,-8.494492534300873,-10.415558714564254,-16.74102559440451,7.220994648823909,11.268572923969474,5.186299933104511,-12.785625399490073,10.29025417809772,-3.1221307448475786
C1,C,NC,318.8274641151012,122.69709189710844,91.52132748990601,3.3882777231587955,18.423932651014603,2.8793140956168672,-5.161028589879278,15.909290234021686,-21.838113711474698,7.895559979661205,9.549070365695421,4.915012879350843,-18.460624574363372,16.819253020424817,6.686647641110602
C1,C,NC,347.98664276898154,140.85685008003242,118.71141849203704,19.340841647517596,41.09666383840741,2.507008910820371,-25.504975077495374,-1.9486949165425926,-37.570793116657406,1.827187668583333,9.673338934055094,-9.407212220486112,-26.85438142297685,8.047254861997223,7.135334604736574
C1,C,NC,203.63022497580928,0.7039243307029958,122.1912887577929,5.081812426980927,47.51679271746049,13.42064804818782,-13.114217598427793,-23.4630712103624,14.054574232937332,-7.520947398092642,7.013731373994552,16.260506151949045,-12.566343355583106,2.2244304353604902,-0.30485509896730234
C1,C,NC,326.3972241002655,50.081515796902664,113.07747319327436,-18.075211798333186,50.68600931048673,-41.17576182660576,-25.170608781738938,-3.8163059744247785,-5.498027194991149,-12.75943358603407,3.2595662610911496,14.468669742842918,-8.831633969265487,3.7566226684690265,0.026103252694690483
C1,C,NC,238.89262087829334,50.47970627050613,111.90922128207067,2.7664932082099987,33.927592909646,1.1625558632704005,-17.131127010949335,-4.580960352105866,-12.405261475609334,1.601957398183547,0.8049936615968005,9.079809011669067,-11.984811982527201,10.529129103863932,6.227839307809333
C1,C,NC,379.5148739516029,129.50319908118962,123.22125795428053,3.4252314929426415,41.13454051258197,-8.500001406002365,-48.95665462257299,9.567147295702185,-16.499593852493625,-13.974575789387979,-2.3113096313169397,11.95637431785173,-20.83573209404215,9.022276640343351,0.3909861449500912
C1,C,NC,222.03959177695907,55.950285966257304,140.9422547859649,23.19647666231579,52.0519526830731,3.530641830818714,-10.980681597368422,-24.086347214619884,-25.160042048245614,11.175807151009941,7.003425653118714,-0.8668511532146193,-15.251903873374271,9.491383608473685,3.741676819574854
C1,C,NC,353.5862680404902,75.46022008429739,107.19105228107841,-1.794930878379086,43.86857701194575,-10.377544842118628,-10.219619139443463,-5.724168043117648,-18.45092632313791,-18.694750085711764,10.795174206629085,14.077957566647058,-6.581245004877124,5.54799011231536,3.017247123869281
